"Type","Mod Name","ObjectIndex","Editor Id","New EID","New Mod","New Obj"
"----","Mart's Monster Mod.esm",,,,,
"INGR","Mart's Monster Mod.esm","0x01A557","LCGargoyleHorn","cobTiGargoyleHorn","Cobl Main.esm","0x003255"
"INGR","Mart's Monster Mod.esm","0x02D33D","LCScrapMetal","cobTiDwemerScrapMetal","Cobl Main.esm","0x0025F6"
"INGR","Mart's Monster Mod.esm","0x006524","MeatBear","cobTiBearMeat","Cobl Main.esm","0x003254"
"INGR","Mart's Monster Mod.esm","0x003E7F","MeatGuar","cobTiGuarMeat","Cobl Main.esm","0x003256"
"INGR","Mart's Monster Mod.esm","0x0083C9","MeatHorse","cobTiHorseMeat","Cobl Main.esm","0x003257"
"INGR","Mart's Monster Mod.esm","0x006521","MeatWolf","cobTiWolfMeat","Cobl Main.esm","0x003258"
"----","Oscuro's_Oblivion_Overhaul.esm",,,,,
"AMMO","Oscuro's_Oblivion_Overhaul.esm","0x051393","AyleidArrowBASE","cobAmwArrow","Cobl Main.esm","0x051394"
"AMMO","Oscuro's_Oblivion_Overhaul.esm","0x051392","AyleidArrowEnchBurden","cobAmwArrowBurden","Cobl Main.esm","0x051393"
"AMMO","Oscuro's_Oblivion_Overhaul.esm","0x051391","AyleidArrowEnchDeathstrike","cobAmwArrowDeathstrike","Cobl Main.esm","0x051392"
"AMMO","Oscuro's_Oblivion_Overhaul.esm","0x051395","AyleidArrowEnchFire","cobAmwArrowFire","Cobl Main.esm","0x051396"
"AMMO","Oscuro's_Oblivion_Overhaul.esm","0x05138E","AyleidArrowEnchFireblast","cobAmwArrowFireblast","Cobl Main.esm","0x051399"
"AMMO","Oscuro's_Oblivion_Overhaul.esm","0x051396","AyleidArrowEnchFrost","cobAmwArrowFrost","Cobl Main.esm","0x051397"
"AMMO","Oscuro's_Oblivion_Overhaul.esm","0x05138F","AyleidArrowEnchFrostblast","cobAmwArrowFrostblast","Cobl Main.esm","0x051390"
"AMMO","Oscuro's_Oblivion_Overhaul.esm","0x05138D","AyleidArrowEnchShock","cobAmwArrowShock","Cobl Main.esm","0x051398"
"AMMO","Oscuro's_Oblivion_Overhaul.esm","0x051390","AyleidArrowEnchShockblast","cobAmwArrowShockblast","Cobl Main.esm","0x051391"
"AMMO","Oscuro's_Oblivion_Overhaul.esm","0x051394","AyleidArrowStandard","cobAmwArrowStandard","Cobl Main.esm","0x051395"
"BOOK","Oscuro's_Oblivion_Overhaul.esm","0x006C75","ZBook1CheapHerHands","cobLofXuiHandsAlmalexia","Cobl Main.esm","0x006C75"
"BOOK","Oscuro's_Oblivion_Overhaul.esm","0x006C72","ZBook2CheapImperialNavy","cobLofXuiImperialNavy","Cobl Main.esm","0x006C72"
"BOOK","Oscuro's_Oblivion_Overhaul.esm","0x006C77","ZBook2CommonAnvilPiracy","cobLofXuiAnvilPiracy","Cobl Main.esm","0x006C77"
